"id","name","team_id","birthday","nationality","position","minutes_played","goal_scored","assists"
5,"David de Gea",210,"1990-11-07","Spain","Goalkeeper",3420,0,0
6,"Matteo Darmian",210,"1989-12-02","Italy","Defender",443,0,0
7,"Victor Nilsson Lindelöf",210,"1994-07-17","Sweden","Defender",2602,1,1
8,"Luke Shaw",210,"1995-07-12","England","Defender",2592,1,4
9,"Eric Bertrand Bailly",210,"1994-04-12","Côte d'Ivoire","Defender",637,0,0
10,"Juan Mata",210,"1988-04-28","Spain","Midfielder",1294,3,2
11,"Paul Pogba",210,"1993-03-15","France","Midfielder",3011,13,9
12,"Frederico Rodrigues Santos",210,"1993-03-05","Brazil","Midfielder",1045,1,1
13,"Andreas Pereira",210,"1996-01-01","Brazil","Midfielder",595,1,1
14,"Alexis Sanchez",210,"1988-12-19","Chile","Forward",877,1,3
15,"Marcus Rashford",210,"1997-10-31","England","Forward",2362,10,6
16,"Romelu Lukaku",210,"1993-05-13","Belgium","Forward",2130,12,0
17,"Scott McTominay",210,"1996-12-08","England","Midfielder",861,2,0
18,"Marouane Fellaini",210,"1987-11-22","Belgium","Midfielder",744,0,1
19,"Anthony Martial",210,"1995-12-05","France","Forward",1623,10,2
20,"Chris Smalling",210,"1989-11-22","England","Defender",2128,1,0
21,"Lee Grant",210,"1983-01-27","England","Goalkeeper",0,0,0
22,"Ashley Young",210,"1985-07-09","England","Midfielder",2568,2,2
23,"Kasper Schmeichel",204,"1986-11-05","Denmark","Goalkeeper",3420,0,0
24,"Wes Morgan",204,"1984-01-21","Jamaica","Defender",1926,3,0
25,"Harry Maguire",204,"1993-03-05","England","Defender",2599,3,0
26,"Ricardo Domingos Barbosa Pereira",204,"1993-10-06","Portugal","Defender",3125,2,6
27,"Ben Chilwell",204,"1996-12-21","England","Defender",3240,0,4
28,"Adrien Sebastian Perruchet Silva",204,"1989-03-15","Portugal","Midfielder",88,0,0
29,"Daniel Amartey",204,"1994-12-21","Ghana","Midfielder",640,0,0
30,"Onyinye Wilfred Ndidi",204,"1996-12-16","Nigeria","Midfielder",3299,2,0
31,"Demarai Gray",204,"1996-06-28","England","Midfielder",1992,4,1
32,"James Maddison",204,"1996-11-23","England","Midfielder",2850,7,7
33,"Kelechi Iheanacho",204,"1996-10-03","Nigeria","Forward",926,1,3
34,"Jamie Vardy",204,"1987-01-11","England","Forward",2735,18,4
35,"Rachid Ghezzal",204,"1992-05-09","Algeria","Forward",738,1,0
36,"Vicente Iborra De La Fuente",204,"1988-01-16","Spain","Midfielder",226,0,0
37,"Jonny Evans",204,"1988-01-03","Northern Ireland","Defender",1995,1,0
38,"Marc Albrighton",204,"1989-11-18","England","Midfielder",1626,2,2
39,"Danny Ward",204,"1993-06-22","Wales","Goalkeeper",0,0,0
40,"Christian Fuchs",204,"1986-04-07","Austria","Defender",206,0,0
41,"Martin Dúbravka",215,"1989-01-15","Slovakia","Goalkeeper",3420,0,0
42,"Ciaran Clark",215,"1989-09-26","Republic of Ireland","Defender",857,3,0
43,"Jamal Lascelles",215,"1993-11-11","England","Defender",2748,0,1
44,"Paul Dummett",215,"1991-09-26","Wales","Defender",1986,0,0
45,"DeAndre Yedlin",215,"1993-07-09","USA","Defender",2475,1,2
46,"Jonjo Shelvey",215,"1992-02-27","England","Midfielder",944,1,1
47,"Mohamed Diamé",215,"1987-06-14","Senegal","Midfielder",2165,0,0
48,"Matt Ritchie",215,"1989-09-10","Scotland","Midfielder",2940,2,8
49,"Robert Kenedy Nunes do Nascimento",215,"1996-02-08","Brazil","Midfielder",1344,1,1
50,"José Luis Sanmartín Mato",215,"1990-03-27","Spain","Forward",586,2,0
51,"Ayoze Perez",215,"1993-07-29","Spain","Forward",2929,12,2
52,"Rondon",215,"1989-09-16","Venezuela","Forward",2609,11,7
53,"Christian Atsu Twasam",215,"1992-01-10","Ghana","Midfielder",1487,1,0
54,"Yoshinori Muto",215,"1992-07-15","Japan","Forward",516,1,0
55,"Sung-Yeung Ki",215,"1989-01-24","South Korea","Midfielder",1302,0,1
56,"Fabian Schär",215,"1991-12-20","Switzerland","Defender",2002,4,1
57,"Javier Manquillo Gaitán",215,"1994-05-05","Spain","Defender",1097,0,3
58,"Karl Darlow",215,"1990-10-08","England","Goalkeeper",0,0,0
59,"Hugo Lloris",202,"1986-12-26","France","Goalkeeper",2970,0,0
60,"Jan Vertonghen",202,"1987-04-24","Belgium","Defender",1915,1,0
61,"Serge Aurier",202,"1992-12-24","Côte d'Ivoire","Defender",564,0,2
62,"Ben Davies",202,"1993-04-24","Wales","Defender",1839,0,0
63,"Davinson Sánchez Mina",202,"1996-06-12","Colombia","Defender",1943,1,1
64,"Moussa Sissoko",202,"1989-08-16","France","Midfielder",2336,0,3
65,"Christian Eriksen",202,"1992-02-14","Denmark","Midfielder",2772,8,12
